text,true_label,predicted_label
therefore obamacare is illegal!,1,1
i am a constituent from middle tennessee and i do not support her nomination.,1,1
"oh paul ryan, i had slightly high hopes that you would do the right thing and denounce trump.",1,0
that's why the debt ceiling has to be raised every few months.,1,1
impeachment is the only answer to this treasonous dictator,1,1
"yeah, but you're my kind of wacko bird... chin up and keep going.",1,0
"mike, the problem is not the search it is the government involvement.",1,0
don't let boehner bribe you.,1,1
keep on putting it out there mr buchanan.,1,1
is that fat boy stupid or a traitor too,1,1
"either you didn't watch what the rest of us did or as said above you are a bought spineless turd, either way you aren't doing you're what you were elected to do.",1,1
"just as then and now there is 1,000,000 miles of citizen video and photo evidence.senator graham.",1,1
"this president doesn't care about the american people, he is out to make this country impossible to fix.",1,0
might as well have osama instead of obama!,1,1
ban all flights out of those countrys and send medical personnel not our military!,1,1
a year ago president obama fired off his mouth and now he wants to fire off missiles.,1,0
this could be the end of the republican party and i don't want it to happen.,1,1
evidently our brilliant government can't figure it out though!,1,0
i am not interested in those unsecured obama exchanges.,1,0
"trey gowdy, i want to continue to trust you but unless something is actually done its just words.",1,0
time to impeach he got to go,1,1
no i just saw where it is close so no hagan isn't ahead.,1,1
"he has pulled it out and is ahead right now, way to go james!",1,1
we will be run over by cuban illegals as well as mexican and our stupid president will have one more way to kill america,1,1
"ahh i see, so he should forget all the people that voted for him, and just listen to you.",1,0
christie should be out.,1,1
his whole administration has been this way to eliminate any hard questions or possible confrontations.,1,1
get out like ted did and call out leadership by name!!,1,1
"god bless you for your courage and persistence in giving us the truth, because we the people can handle the truth, its the lies that we can't handle.",1,0
good to hear it justin... the gop leadership is full of nutty rhinos... they just don't realize the actual party knows it yes.,1,1
"with the somewhat confusing language of cloture to hide behind, they were weak and stabbed us in the back.",1,1
"no he doesn't, the president has the authority to suspend immigration from any country he wants.",1,1
thanks for the help israel!,1,0
he is a disgraced rino.,1,1
when will the repubs starts hammering harry reid and senate dems for no budget in over 1000 days?,1,1
"coward in a uniform, traitor to his nation!",1,1
if gowdy says it ----i believe it!,1,1
no one has answered what part of the constitution was violated.,1,0
why when the constitution enforces our borders and other laws enforce them are you not putting obama in contempt and treason?,1,1
i hope you all pass all the bills reid would not put up for vote and then over ride obamas vetoes,1,0
"i understand that,... but the constitutional principal is what i have been discussing.",1,0
"if we don't try, then they absolutely get their way.",1,0
stop being a globalist and preserve the godly principles this country was founded on!!,1,1
"mr lankford would you help me with a multi billion dollar idea it will save actually millions of lives and pay off us debt, and more 22centry law enforcement badge and more",1,1
you voted against the education of our children and against the preservation of our liberty.,1,1
"you may be a lil late on doing what is right, but i commend you for it nonetheless.",1,0
washed up rino,1,1
"i'm sure he's getting out that trusty executive pen of his, if there is any ink left!",1,1
"freedom of religions, christianity is here to stay, dont ever put muslim only here is usa",1,1
"congress thought they were smart when they prohibited ex congressmen from being lobbyists but its the other way around that is the dam problem... ""but its not a simple solution is it ben!!!",1,1
bravo marco.,1,1
"you were one of 16 republicans to vote the wrong way today, you are a traitor and you need to be voted out.",1,1
the proper response to 9-11 would have been to start drilling for oil here in the us and cut off all trade and diplomatic relations with the middle east while trying these criminals who practice terrorism in a court of law.,1,1
sam johnson has done more for our state and our veterans than any of you!,1,1
rubio got my vote.,1,1
and when the debt ceiling hit tell the rothschild's to get bent.,1,1
presidential vacations you say?,1,1
no one in healthcare wants obama care.,1,1
he needs to be put on a short rope to a snubbing post.,1,1
she's possibly the least qualified nominee i've ever seen.,1,1
"your ""job"" is to represent the people of georgia and i believe we have made our position clear.",1,1
it does no good to pray if you refuse to pay attention to the signs of warning that are sent to you,1,0
it's because it's much easier to look like the government is doing something than to actually do something.,1,0
"mike, please do not leave washington now.",1,0
may god bless you and your's.,1,0
i'm not from kentucky but rand is by far my favorite politician.,1,1
cuba still harboring convicted killers and terrorists.,1,1
if what we thought was important to you steve you would not have voted to reelect boehner as speaker.,1,1
iam not a big fan of the speaker of the house john b. i hope and pray others will speak their mind to him and guide him to do the right thing for america,1,0
we wanted a balanced budget.,1,1
"sending arms to our enemies, shows how incompetent our congress is.",1,1
they are wanting socialism all the way.. communism.,1,1
i'm sick of the lies from the left and hope the messiah will use the 14th ammendment to raise the debt ceiling.,1,1
"good luck, marco rubio.",1,1
"dear rep. elise stefanik, please cosponsor the safe act bill hr 113 to end horse slaughter.",1,0
"mr. amish, washington d.c. is not full of principled people.",1,0
mr. rubio was the one true hope conservatives had to beat the machine.,1,1
yeah i know obama is going to give you hope and change.,1,0
please represent the people of tennessee and vote to reject this supremely unqualified nominee.,1,0
you must vote to defund obamacare (affordable care act) it is costing our country and each individual far too much and it will be the death of our country as we know it.,1,1
do you think american principles are not better than this?,1,1
"if you wanna save the gop, get rid of neocons like mccain and graham.",1,1
"he's one of the few that does not follow like the rest! saw him on fox this am.he may not be perfect, but he sure is a lot better than most of the crooks and liars we have serving now!",1,1
b) a huge conservative sweep of primary and general elections for both the house and senate!,1,1
she will not curb late term abortions.,1,0
"you didn't embarrass the republican party, nor the democrats.",1,0
no problem all is well ----haha.,1,0
"i will not falter in my support for marco rubio.. i can't believe that trump has gotten so far with his rude, insulting and very unpresidential personality.",1,1
"good man, may god bless and keep him.",1,0
kick their face in rand!,1,1
stop government spending.,1,1
you are obviously not listening to the people of nc who you represent and work for.,1,0
we do not want obamacare under any circumstance!,1,1
"strap on your seatbelt, marsha, it is going to be a bumpy ride....",1,0
reagan made 30!!!,1,1
hey tom how do we get rid of obama!,1,1
"to our allies in america and around the world, we remember your sacrifices and ours, for liberty.",1,0
prayers for the family.. how awful.. we need to ask for forgiveness from the lord god and ask him to return to our country.,1,0
trey gowdy i hope you will accept the nomination appointment for you to be the next ag with donald j. trump as the next president.,1,1
then hang him!,1,1
why hasn't anyone filed a lawsuit that the changes to obamacare are illegal and unconstitutional,1,0
too many have changed their party affiliation to democrat or libertarian or no party at all.,1,0
2016 marco rubio for president,1,1
"how about total tax reform, with flat taxes.",1,1
he wasn't elected king and he has no ability to lead.,1,1
"on point, but i'm sure many trump voters won't even read or will now discredit john mccain as a wacko liberal.",1,1
he needs to be removed from office before he can do more damage to our country.,1,1
"mr rubio, you should be receiving a jail sentence for your support of patriot act and ndaa.",1,1
as far as charleston is concerned.,1,0
there is no exemption or special treatment from obamacare for congress & the president.,1,1
it makes better sense for the government to safe guard our borders from every country and enforce the very laws it passes equally amongst all including themselves.,1,1
"tyler's paradise, obama isn't american either.",1,0
this should be the wake up call for republicans to unite and totally support the republican nominee.,1,1
if you can't work with him it would only be because you don't want fellow americans to keep their constitutional rights.,1,0
it's ridiculous to talk about repeal until you lay out your replacement plan.,1,0
please step away from partisan politics for a moment and listen to the millions of qualified educators who are reaching out and asking you to vote no on betsy devos.,1,0
"absolutely scott, all that senator rand paul has been talking about, an indisputably flat and fair tax rate.",1,1
"by getting this morsel, you voted to fund planned parenthood, allow un-vetted immigrants in and any other thing the president wanted.",1,1
love rand paul!!!,1,1
we need to consider god's definition of personhood rather than your definition!,1,1
ronald reagan would kick your butt if he was alive today to hear that you sided with russian interests over american national security.,1,1
i'm glad rep. blackburn is attempting to bring heightened public awareness to the potential dangers of compiling so much personal information into a centralized data center.,1,1
you shouldn't have voted for boehner johnny.,1,1
aid to israel comprises more than 50% of the foreign aid budget.,1,1
what have you won? so far i haven't seen anything yet you republicans have cut our medicare & you keep raising the debt ceiling you keep getting all this money from ss.,1,0
bring them home to defend our borders!,1,1
"congressman ryan, where were you sir?",1,0
"you sold your soul to the radical left wing, just let them have their way since you've been in office.",1,1
"pass: meaningful campaign reform legislation, immigration reform, a balanced budget mandate, and perhaps more important, eliminate the political shenanigans that govern conduct in the house and the senate and once and for all get rid of the pork barrel mind set.",1,1
"we need to cut spending sir, and we need to do it now.",1,1
please restore the freedom to play american based online poker.,1,1
"time to come up with the payment plan before spending money... you know, like the rest of us!",1,1
"mr thune, i ask you as an american.",1,1
"if gitmo is, as so many obviously believe, something evil, than it's an absolutely 'necessary' evil and turning out its inhabitants or bringing them to us would be quite foolish.",1,0
amen uncle james we all so need to pray for schoolin the united states to stop.,1,0
do not fund any part of obamacare.,1,1
repeal obamacare (tax) and reduce spending to where we are spending less than we earn (a true balanced / healthy budget).,1,1
good 4 u & rand,1,0
you seem to have forgotten what you did...... you've lost my vote mr. crapobama.,1,0
he needs to get out of the caboose and move to the front of the war on terror!,1,1
then get all of your fellow politicians together and stand up to this administration sir.before it's to late.god bless america!,1,1
"no sovereign nation can or will withstand unchecked immigration with no rules, limits or policies.",1,1
"paul, i think you may be engaging in a little hyperbole.",1,0
"and, jail him until he pays his back taxes.",1,1
"when are ya gonna get a special prosecuter, and go after obama, and biden???",1,1
"team carson and fiorina!.. what power, intelligence, patriotism makes me feel their is hope for america once again... and neither one of them said the word ""stupid"" once!... loved dr. carson's final remarks... humor is a great communicator, reminds me of the days of president reagan!",1,1
