text,true_label,predicted_label
sad and disgusting farce dems are trying to pull.,0,1
this must be said: sanders is the antidote to trump not clinton.,0,0
"fight the good fight tammy, america is rooting for you.",0,0
"thank you for listening to the concerns of your constituents, and for demonstrating that you embrace the importance of civil rights for all of us.",0,0
obamacare would not pay for the treatment of may patients here in oregon with fatal illness because it was to expensive!!,0,0
wow... bernie wins the county 4 to 1 and you are still a happy hillary super delegate.,0,0
hold congressional republicans responsible for inciting violence against planned parenthood with their partisan committees and propaganda videos!,0,0
why do minnesotans elect this guy?,0,0
"religions teach hate, power and greed & racist, bigotry instead of love so very sad!",0,0
thanks for taking a photo with me today amy.,0,0
"a wonderful happy valentine's day present for all happy, devoted couples!",0,0
dan keefe for the people 2020 can't wait,0,1
please shut up now warren.,0,1
chuckie must be pushing damage control.,0,1
love you u.s. senator al franken,0,0
"thanks kirsten for helping to begin to level the playing field. """,0,0
please use your voice to endorse bernie sanders!,0,0
"elizabeth warren, you rule:)",0,0
"thank you for standing up for justice and against bigotry--racism, homophobia, sexism, misogyny, religious and xenophobia.",0,0
"as a hoosier, i thank you, rep. visclosky.",0,0
many more americans are hurt by not being able to afford medications than the number that would by receiving unsafe drugs from canada.,0,0
i am grateful that you are speaking for us and wish you a wonderful new year.,0,0
"if she wants to talk about inciting violence, look no further than the anti-trump protesters, including the one that pepper sprayed children.",0,0
is that why you voted against cheaper prescription drugs?,0,0
"she is friend to my family, i just bought her book, memories of a fantastic woman's career.",0,0
frank pallone for president!!!!!,0,0
i am disappointed in your recent comments ron wyden.,0,0
"racist, sexist billionaire.",0,1
"also thank you congresswoman, we need more like you in office.",0,0
"in order to protect our water from toxic manufacturing and the fossil fuel industry, we need to transition to a resource based economy.https: / / www.youtube.com / watch? v = jf2jzokrj4y [[video _ share _ youtube]]",0,0
"hillary can beat bernie, bernie can beat trump!",0,0
"the risk of chemical or gmo contamination of organic vineyards needs to be managed, to minimise the likelihood and impact of contamination events.",0,0
sanders knew this when he proposed it).,0,0
"thank you, alec baldwin.",0,1
let me remind you of the environmental importance of mn as a tourism state!,0,0
you get how much money from pharma sen booker!?!?!?!?!?!?!?!?!?!!?!,0,1
"thank you for your acknowledgement, congresswoman bonamici.",0,0
"as part of this freeze, no vacant positions existing at noon on january 22, 2017, may be filled and no new positions may be created, except in limited circumstances.",0,0
happy holidays tom udall:),0,0
thanks earl for your intelligent approach to this issue.,0,0
the only thing wrong is that you are still there patty!,0,1
"i endorse you, kamala!",0,0
"in case you missed it, america has told you damn dems we have had enough, i am sure that continuing to match to the same old tied beat will help somehow.",0,1
"protesting is a right but rioting is hateful, destructive and causes greater division!",0,0
"f the republicans, its time for sane people to revolt",0,1
i want to see warren as our vice president.,0,0
how on earth could you side with the tea baggers on dodd frank!,0,0
my first thought when hillary said there will be a woman president someday!,0,0
"the problem is that reasoned argument on all sides is drowned out by inflammatory sound bites appealing to base prejudices... the dark side of democracy in the race to ""win"".",0,0
i say any person sold for sex at any age should be treated as a victim.,0,0
