text,true_label,predicted_label
"bills should not be 2000 pages long, there should not be any pork in them.",1,0
i think we should be able to choose what federal program we would like our money to go to or choose the ones we don't want our money to go to.,1,0
"tom, you bloviate and you're full of c r a p.",1,1
"so they have moved people from the ""resigned positions"" of the irs to run obamacare!.....",1,1
in trey i trust!,1,1
i do agree that we mollycoddle prisoners and that the defense budget being under attack by this administration is disgusting.,1,1
the debt is going up and nothing has been done to control it and eventually lower it.,1,1
"bravo again, ben sasse!",1,1
again you call what the president does as unconstitutional.,1,0
https: / / www.facebook.com / teapartypatriots / photos / a.155447495778.127016.93228695778 / 10152426447350779 /? type = 1 - - no welfare for illegals!,1,1
start it now we want a new president one that is for our country!,1,1
team effort by carson / fiorina,1,1
"sorry to say as a republican all my life, i am now leaning and supporting the libertarian party.",1,0
"""president bush sr. stopped defending our us constitution and started bringing muslims in which is treason.""",1,1
"instead, you have failed the american people by not having a plan to replace it.",1,1
"the federal government spending is not maintaining the status quo, it is stifling growth!!",1,1
"rand paul, you're partly to blame.",1,1
what part of hell no!,1,1
it makes me nervous to see you standing with boehner.,1,0
"happy birthday rand, i have never voluntarily given a politician a dime before today.",1,0
"he did the same, only dhs was called the ss!!!",1,1
do not give obama more power to ruin our country.,1,1
i voted for you on the bases that you would fight to get rid of obamacare.,1,1
nothing about the values she shared during the hearings suggest schools in georgia will benefit from her vision for education in america.,1,1
"rhino factor, you sold out america...",1,1
"inhofe, lankford, fallin are all garbage.... its time to get them out of office... they don't care what the voters want as long as their pockets get lined",1,1
martha brooks stevenson,1,0
"sir it should be ""make the argument for the people not to the people.",1,0
i am an alumnus of that school though when i graduated it was operating under the name baptist college at charleston.,1,0
i'm not in favor of obamacare but if it's law them repeal it with a vote.,1,0
kiss your chances for 2016 presidential primaries goodbye you rino.,1,1
he gave his life!,1,0
israel is our friend egypt is not,1,1
"ha-ha, put trey gowdy in his place.",1,1
may god bless all at this time in arizona.,1,0
"real conservatives are needed, and the next round of votes will show that.",1,1
to late now lindsey.,1,1
"georgia gun owners, inc.",1,1
how is obamacare an improvement above anything?,1,0
and it should be made so that the president cannot pledge money without the consent of the house.,1,0
you must have forgotten that obama trained us well.,1,0
we have to come together and guarantee rand paul becomes president!,1,1
the days of rinos like you will soon be over as americans are tired of you being a part of the establishment that has created a $20 trillion national debt.,1,1
we love you and your family mr. gowdy,1,0
your a sell out and i hope the people in south carolina vote you out next election.,1,1
and to you and yours trey,1,0
obama's news media will not dispute any narrative he broadcasts.,1,0
"we have our own problems in america right now, we need to take care of america first.",1,1
that dipshit john kerry just gave morsi and egypt 250 million taxpayer dollars on top of the f16s and tanks we just gave them!,1,1
i know the president is throwing out threats left and right.,1,0
delay until you can repeal.,1,1
good job rand paul!,1,1
and the attempted quick backpeddling by the obama administration.,1,0
