text,true_label,predicted_label
i am so glad to have you for our senator and so proud of your work in getting this stubborn tantrum resolved!,0,0
thank you jackie speier for supporting peace and mediation.,0,0
god bless u.s. senator elizabeth warren!,0,0
"they deleted my comment, most likely because his showboating on the issue is past, he even refused to speak at a benefit for domestic violence that we raised over 5000 dollars for under anna hurds name",0,0
joseph - how in the world did somebody convince you that restaurants in san francisco are exempt??,0,0
does that mean equal hours worked and equal productivity and all other things equal?,0,0
"thank god for you, peter parker.",0,0
"hello congresswoman suzan delbene, and happy easter to you.",0,0
"says does mrs pallone eat with mr pallone at these ""event""?",0,0
"jon tester, my concern is roe v. wade.",0,0
thank you senator for speaking out and for fighting on our behalf,0,0
i could not agree with you more chellie!,0,0
happy mother's day from winter haven fla.,0,0
drumpf didn't look very brave holding onto a security guy like a little baby would his mom.,0,1
we in riverdale need your leadership now more than ever.,0,0
please be motivated to speak the truth and not bend to this latest wave of authoritarian nationalism.,0,0
"they both have no trains to take their passengers to anywhere, and trump train?",0,1
tell it al,0,0
"thank you for your leadership on this issue, debbie!",0,0
"al, would it make a bit of difference if anyone posted any government program that ""worked""?",0,0
"senator chuck schumer: tears didn't work so now we use ""fear"": http: / / www.breitbart.com / video / 2017 / 01 / 30 / schumer-trumps-order-will-make-us-less-safe-will-encourage-lone-wolves-america /",0,1
thank you kirsten for supporting healthcare reform.,0,0
i am most grateful i do not live in her district.,0,1
i posted another l.a. times article (11 / 5 / 10) on my wall which states that there are 2 million ballots remaining to be counted.,0,0
"liberalism is killing this country and your hand prints are all over it, nancy.",0,1
i can't wait till inauguration is done so we can move on.,0,1
"senator amy klobuchar, you are a little late!",0,0
candidates would rather talk about isis terrorism gun violence when poverty costs much more.,0,0
the drugs from canada would be the same drugs we take her but less expensive.,0,0
"amy please don't let them mess with our social security benefits, surely there must be something else they can take away.",0,0
thank you for your hard work during this terrible hearing process.,0,0
"what happened to being ""blessed and honored"" to work with jess sessions as you have said in the past?",0,1
"i know that half of the nationwide lobbying effort by american unity fund (a pro-gay marriage organization that lends financial support to republicans that vote ""accordingly"") has gone to minnesota.",0,1
however as a populist it is easier for her to demonize the industry.,0,1
i want to see anna karenina as well,0,0
i live in wi and wish she was our senator!,0,0
"damn, i am sure she is spewing the typical liberal democratic talking points.",0,0
"i'm a rain worshipper, myself, and i am concerned that you might influence it not to rain, kyrsten!",0,0
"i hope bernie's your friend too, debbie.",0,0
run for the white house in 2020.,0,0
i remember your first campaign and have been so happy to see you continue to serve western wisconsin so well.,0,0
grow up and face it boys we women are here to stay and we will continue to fight for equality for all.,0,0
"happy birthday, senator warren!",0,0
wake up elizabeth warren and represent the moral majority!,0,0
"senator schumer, those are words.",0,0
mr cohen your fight is just and i appreciate what your doing.,0,0
pretty sure your money trail leads to the pharmaceutical industry.,0,1
that's fine jon.,0,0
no more democratic acquiescence on trump's cabinet picks until we can be sure they understand the rule of law.,0,1
"happy new year to you and your family, as well, debbie.",0,0
i am a military sexual trauma survivor recently moved to the twin cities.,0,0
happy birthday guvnah!!,0,1
"happy birthday, ms. harris!",0,0
i went to the fda and the hope committee in congress to get acknowledgement of fqad.,0,0
< 3 you tammy!!,0,0
"please senator booker, can you do something do prevent the gop from repealing the aca?",0,0
"brown, you are a disgrace, you pos",0,1
"mr. franken, before your first workday at your new job, i hope you celebrate with a concert like this one: http: / / www.youtube.com / watch? v = b _ mwsdfm7bq that was cool.",0,0
what are the democratic senators doing?,0,0
bernie sanders is the answer to this dc mess.,0,0
thank you elizabeth and thank you for the words you spoke publicly with the governor and boston mayor.,0,0
"kirsten, thanks for the updates.",0,0
the nra had a fundraiser for her in the past.,0,1
so if he is from nj all the people who work for the pharma industry that support him afraid counted in those numbers.,0,1
"hillary is far too hawkish for my taste, but i will support her if we do not have u.s. senator bernie sanders",0,0
access to good health and affordable health care are civil rights issues!,0,0
"support for health care that keeps these guys under medication and, if needed, lock and key.",0,1
"hey keith, ya little wuss.",0,1
"i am not worried ""the government"" will chose to grab my hunting weapons if the assault guns are controlled.",0,1
"coconut cream for sure elizabeth, thank you for your committed effort, i know how difficult it must be and all the criticism ""unwarranted"" you must receive.",0,0
i have only seen democrats being violent.,0,0
minnesota won the bid!,0,1
"do't misunderstand me - i lost a cousin, age 35, to breast cancer.",0,0
just more right wing hypocrisy.,0,1
my grandkids asked me if i could be friends with anyone famous) i said amy klobuchar!,0,0
"although you've been there for a bit, it's nice to know you started as the mayor of my city!",0,0
please put a strong statement against this appointment on your website and begin strongly urging fellow democrats to stand united behind you in not allowing this to happen!,0,0
question: this whole ordeal from start to finish has cost the state millions (if i'm not mistaken) is there any recourse the citizens of oregon have against these people?,0,0
