text,true_label,predicted_label
colleen - are you really that ignorant about how news organizations work?,0,1
it was bernie supporters rioting and assaulting trump supporters in california.,0,1
"simply amazing considering the non-stop investigations of both hillary and her husband, investigations that started back in 1993. maybe, by now, a hundred of them.",0,0
and then she voted against big pharma.,0,0
ct already has the 5th most stringent gun laws in the nation and it's own state level assault weapons ban.,0,0
mark pocan you're an asshole,0,0
we will anoint donald trump come january just as we anointed george w. bush - that's not democracy.,0,1
there are thousands and probably millions of women who are ready to mobilize and work for the next 4 years.,0,0
thank you senator warren for speaking out on behalf so many of us who are dismayed.,0,0
"on this day i am so proud to be from montana, thank you for supporting this.",0,0
just banning the guns are not enough.. the quality of human mental health shroud be looked into.and ways and means adopted to eradicate such diabolically cruel attitude.these types if they dont get a gun will use some other weapon to do their inhuman acts.,0,0
"but, please, there is a group of folks in ne oregon that are already being targeted.",0,0
please be honest with the citizens of minnesota.,0,0
too bad the minnesota house dfl couldn't muster enough votes yesterday to pass hf276--the we the people act--calling on congress to end the court-created doctrines of money equals speech and corporate personhood.,0,0
that's whats up al franken,0,0
sounds like the big pharmaceutical companies.,0,0
arizona is lucky to have you.,0,0
"congressman, i'm counting on you to fight for these essential programs and so much more.",0,0
so disheartened by democratic defections in favor of tillerson.,0,0
"run for president in 2020, please.",0,1
"now it's not just a mentally ill president being racist and misogynistic, it is the leader of the senate!",0,0
chucks right shes a cancer to society,0,1
elizabeth warren is a certified lunatic!!,0,0
"thank you, senator murray for keeping us informed.",0,0
"please senator gillibrand, i voted for you.",0,0
or charges 2000% more than they should for prescription drugs.,0,0
so does this mean you and your fellow multi millionaire democrats are gonna dole out your wealth to us poor people?,0,1
protests are needed now more than ever.,0,0
other than the fact the kkk has issued statements saying they support hillary 🙃,0,0
"many, many thanks, senator gillibrand!",0,0
but why did you vote against gmo labeling?,0,1
please use the power of your position to oppose mr. trump's choice to appoint stephen bannon as his senior advisor.,0,0
the gop in nh just passed a bill to unfund planned parenthood... i pray our governor will veto the bill.,0,0
no country would tolerate the violence perpetrated by the palestinians and i believe israel's responses are tame compared to what we'd do if mexico was launching missiles at san diego.,0,1
sanders has a better chance of beating trump.,0,1
------------------------------------------------------------------------------------------------ dear lawmaker you must stop corporate inversion.,0,0
the senate ag committee voted to take away americans right to know if their foods contain genetically engineered ingredients... do members of the senate not know... that all of our american food companies label gmos overseas — for 60% of the world's population.,0,0
thanks al from your friends at the fourth of july in eveleth!,0,0
"it's time to relegate the neanderthal rifle association to the dust pile of history, and past time we join the civilized world and pass meaningful gun control measures.",0,0
wake the hell up michigan this is not about water this is about dictatorship http: / / voiceofdetroit.net /... / pastors-community-leaders... / [[share]],0,1
"the purpose of the electoral college, as you should know, is to prevent one area of the country dictating to the rest of the country how we live our lives.",0,1
sending sincere wishes for a speedy recovery.,0,0
"a serious flaw in our mental health system exits because of the method medical and mental health professionals use to label individuals who exhibit symptoms of ""serious mental illness"".",0,0
"affordable housing might be the worst problem in new york city, actually.",0,0
not a damn thing... especially the past 8 years.,0,0
"amen elizabeth warren, you should run for president next time around.",0,0
"you should have ran, sen. warren.",0,0
"please, please endorse bernie sanders.",0,0
"do something, congresswoman.",0,1
trump is a deceiver! ¡!,0,1
compared to hillary - he's a saint,0,0
