text,true_label,predicted_label
"you can cut money to fund the type of conflicts that are improbable, but we have already cut quite a bit.",1,0
yes so true mia.,1,0
i think our president is overstepping his authority.,1,0
and demos want to increase the number of poor with more socialist policies.,1,0
"with dr ron paul out of congress, there is no hope for america",1,1
go fast turn left!,1,0
mobilize your facebook friends to vote for james.,1,1
now get the worthless commander in chief out of power and you'l make a lot of veterans very happy!!!!,1,1
why does our government sell arms to any country that is not true allies with the us and works so darn hard at restrictions on the second amendment for american citizens?,1,0
devos has no qualifications!,1,1
no new border agents until 2017: http: / / www.breitbart.com / big-government / 2013 / 06 / 21 / sessions-on-corker-hoeven-amdt-new-border-agents-won-t-start-to-be-hired-until-2017,1,1
maybe the congress should take everything to binding arbitration so some thing would get done up there.,1,0
"the congress and the senate has failed big time to their employers.... which is us ""we the people""!",1,0
this is just ashame what is going on with our military.,1,0
"like my great grand parents, why cant tom be president???",1,0
@ megan lynn do you know anything about this woman personally?,1,0
it is a distraction so that you guys will get all worked up about her and not the other scandals going on.,1,0
"i hoped you would at least stand up for our public schools, the children & hard working teachers of america and vote no!",1,0
she said it was tsa rules.,1,0
so back off lee sayin he should investigate trump and russia.,1,1
trey gowdy for speaker of the house!!!,1,1
"he is a pro amnesty for illegal foreigners, pro obama care for destruction of health care system and pro high internet sales tax.",1,1
now multiply that times 18. the government will never pay that off.,1,1
"hey, james, remember when god sent the 12 into the promised land, 10 came back saying they couldn't, 2 came back saying that with god's help they could?",1,0
the sheeple that voted for him have no clue... they believe everything is going according to the plan... which it is.,1,1
you are referring to the 2 billion obamass is setting aside to help the illegals get all they want for free.,1,1
"rep. bishop, we won't default if you tell your colleagues to quit grandstanding.",1,1
"i pray that the clintons, loretta lynch, obama, biden and all the others involved in wrong doing will be revealed to this nation.",1,0
i hear all this negative talk against obama yet americans are blaming republicans who are fighting for them!,1,0
i got the american flag tattooed on my arm.,1,0
do the republicans have anything else to say positive but bitch because you put another republican in there it will just continue two party systems sucks no honesty just gluttony until the own federal govt stops stealing from their own american people this cancer will never end.,1,0
now people want rubio back.,1,1
he plans on running the economy on his own hot air,1,1
or no obamacare.,1,1
the facts on fox are all over the place.,1,1
"good afternoon, sir.",1,0
seriously sir you are delusional!,1,1
we can start to defund and revoke his ex orders.,1,1
"you are supposed to fight for what we, the people, of tennessee want.",1,0
"praying for charleston, the victims families, south carolina and our nation.",1,0
rand will not save you.,1,1
"and the same to you and yours, bruce poliquin",1,1
stfu rand paul!!!!,1,1
"you are wonderful, mia!",1,0
"no more, our country cannot afford it.",1,1
what kind of america is this where standing presidents (on all sides of the isle) can break the law and get away with it?,1,0
james comey got squeezed.,1,1
need to get to get back to conservative principles period!,1,1
"why don't we forget how y'all vote, and let americans vote!",1,0
