text,true_label,predicted_label
please continue with your standards for all of the cabinet nominees.,0,0
he's as fake as his hair and tan!,0,1
i don't think the people running this housing in minnesota are being fair.,0,0
"patty, you can do something about this.",0,0
i'm not narrow minded bigoted racist but if it comes down to trump or hillary well then trump gets my vote.,0,1
sheila jackson you are such a moron.,0,1
let's not forget the dark act.,0,1
i lived in ny and saw the developments and innovative projects he was responsible for in nyc.,0,0
happy new year..... because its hard battling stupidity and you and bernie need your strength.,0,0
we know from her record that hillary is all of those.,0,0
bernie sanders is the man to take trump down,0,0
they view it as one of those quaint religions followed by minorities — no more likely than the ancient incan or egyptian gods.,0,1
"keep fighting, senator kaine!",0,0
""".............. this also makes iceality a philosophy meaning that there is hope for humanity after all, and that improvements in our society can take place daily.",0,0
bernie is not financially supporting 'down democrats' because he is not a democrat (and shouldn't be running as one).,0,0
we love you senator!,0,0
the 5 shaheen law firms in all the most populated areas throughout new hampshire.,0,0
"if hand guns and automatic weapons are not allowed to be purchased by anyone, then this might not have happened.",0,0
bannon could possibly be worse than trump himself.,0,1
"since the banks are making lots of money on this, can you sherrod brown create legislation that would force a cap on the interest?",0,0
please protect medicare in total.,0,0
"the one of mental illness, psychopathy, cruelty, disrespect and torture.",0,0
chicago for instance kills one or 2 a day... yet has the strictest gun laws around.,0,1
you were elected to support the state of nh.,0,0
"far as the nra goes, the president especially of nra, can go crap in his hat to disregard the present epidemic of gun deaths.",0,1
i have a huge lady crush on you tulsi.,0,0
alexander hamilton foresaw this situation in which a completely unqualified man is selected and thought of the electoral college as the last ditch to preserve the government.,0,1
thank you for being a good role model for the new members!,0,0
i'm so glad to have you representing me.,0,0
"well done, senator stabenow!",0,0
a clinton supporter accuses bernie sanders of being caught in the past?,0,0
"paul martinez the va killed my wwii veteran father with a misdiagnosis of als, which any 1st semester pre - med student knows kills 95% of those diagnosed in the 1st (first for you jackasses) 3 years and 100% mortality after 5 years.",0,0
good on you patty!,0,0
xoxoxoxoxoxo so proud of my state!,0,0
i'm a graduate student and having my daughter starting college next year.,0,0
thank you for working for us senator.,0,0
"i an so proud to have you as my senator, and to have people from other states recognize you amazing abilities.",0,0
we are proud to have you representing us.,0,0
congradulations to maria contreras!,0,0
bernie '16!,0,0
"this bill, along with stronger protections against illegal gun trafficking and straw purchasers, will help keep guns out of the hands of criminals and reduce gun violence in our communities.",0,0
"you make me proud, amy!",0,0
and we will shield our daughters from hateful speech against women and never make them feel that they should accept or excuse it.,0,0
"ty al franken, you are ane of the best senators!",0,0
i'll be attending women march in seneca falls 2017 on saturday!,0,0
they will not remember this next year; you have only succeeded in alienating (former) supporters such as myself.,0,0
like planned parenthood was created by the kkk and was used to depopulate the black race.,0,1
as if i didn't have enough mad love for this woman before.,0,0
"mr. booker, i'm deeply disappointed in your choice.",0,0
courageous individuals like yourself give me hope and make me so proud.,0,0
see mr ellison you have no idea why the democrats lost the white house the senate and the house.,0,0
"absolutely, but how about clinton & warren as president & vp?",0,0
thank you for all you are doing beto.,0,0
speier / gillibrand 2016,0,0
compared to the brits 50 yard powerful weapons.,0,1
sharia will never be the law of the land... get that in your head anti-christian ellison.,0,1
it is a matter of compassion and human decency to speak out against the dog meat trade.,0,0
not a word about mental health.,0,0
"while you are probably not able to get in front of the hillary machine, you have a better chance to beat trump.",0,1
take 99 stances that are courageous and just.,0,0
"here's a novel idea, howz about trump taxing all financial transactions to mexico?",0,1
dadt became policy under a democratic president because the other option was not to let gays and lesbians serve at all.,0,0
"governor mario cuomo, my condolences to governor andrew cuomo and family",0,0
trump protesters are not the violent ones.,0,1
5. allow medicare to negotiate with big pharmaceutical companies the way other insurance companies to.,0,0
"debbie stabenow, you need to retire and go away.",0,0
"although the second amendment people, maybe there is, i don't know, ""trump said.",0,1
"thank you, mr. senator, for your consideration of our thoughts and feelings.",0,0
"you must not pall over the country want simply-worded, on-package, mandatory gmo labeling like 64 countries around the world already have.",0,1
"thanks for keeping at them, amy!",0,0
"either you're with america and bernie sanders, or you're with the banks and hillary clinton.",0,0
"guns are no more dangerous than cars, are they?",0,1
the gop are using their money and greed as a weapon to destroy the working class.,0,1
"i see how representative elijah e. cummings fights for ethics, and how gop chaffetz went after clinton, but refuses to go after trump, or those who are in trump's cabinet.",0,0
thank you cory booker for speaking up!,0,0
"for the record, frank is a catholic and i have now forwarded his latest championing of state sanctioned murder to the diocese.",0,1
you should run for president elizabeth 👍 🏽,0,0
"trump is a better choice than pro war, pro tpp, pro ttip, pro / anti coal hillary!",0,1
this sounds like more of a punishment for the women who are raped.,0,0
"""waiting for superman"" is an example of corporate media control... so many lies and a blatant push for more charter schools that profit corporations!",0,0
how come no one is going on about banning knives which killed as many as guns did or the cars one of which was used to hit lots of people.,0,0
please rubin 2020,0,1
we need more women representative in congress to ensure that women's rights are respected and protected!,0,0
"if the liberals are against her, i'm for her!",0,0
yhea warren is a nut job...,0,0
patty murray needs to go she's needed to go for a couple of years now,0,0
not just white male ones.,0,1
"al franklin, you boob, research who wrote that huge book of restrictions.",0,1
i am proud to have you representing my district in congress.,0,0
support h.res 752-australians against yulin 👍,0,1
demand labeling of gmos.,0,0
i'm with you lloyd.,0,1
to exclude one is to potentially exclude all..... remember your history..... recall hitler and the nazi's,0,1
"thank you, senator amy klobuchar, for standing up.",0,0
i hope to see you run in 2020.,0,0
thanks for your hard work and dedication to wa citizens.,0,0
"the thousand year reich begins with a single act of hatred, and as if to treat american democracy like some sort of perverted game of political baseball, president trump is declaring ""open season, 'and offering to throw out the first mexican.",0,0
"thank you, louise",0,0
trump has made thousand of jobs and business,0,1
there is one way to make sure that he doesn't win...... accept the vp spot with bernie.,0,0
you and hillary are both disgusting females.,0,0
channel your inner wellstone al!,0,0
happy birthday miss warren!,0,0
"i suppose you could, but ussc precedent was that corporations did not have full first amendment rights.",0,0
"colleen - can you cite a source that supports the claim that the secretary of the treasury did not pay income tax ""until he was caught?""",0,0
you are a champion for us - already voted and you are my favorite senator!,0,0
good idea carol,0,0
"please forgive me for being so gullible and i hope to build that trust back by pushing a progressive agenda from now until 2012! """,0,0
did you know: co2 represents only 0.28% of the worlds greenhouse gasses.,0,0
"and well, support bernie",0,0
"god bless you, amy, and your tireless efforts for all americans.",0,0
i think we need to tune out chuck schumer the ideologue.,0,1
"how could you know, since you took money from big agriculture to block gmo labeling on our food?",0,1
massive national infrastructure refit / upgrade … a to z.. tax corporations they are getting a free ride.,0,1
you are a progressive fraud and you should be ashamed of yourself.,0,0
"there may be a ""skill gap"" of 85 million unfilled jobs globally by 2020. if we want to remain a world leader, we have to again lead the world in graduation rates.",0,0
john yarmuth epitomizes hard work and dedication.,0,0
these are five (5) things that should be the focus to improve the lives of nj citizens.,0,0
"non-voters and you know who you are, are totally responsible for trump's victory so far.",0,1
the gop wanted to play chicken... and those like debbie called 'em out on it... see the original status.,0,1
"cory booker, how are you enjoying your fully funded health insurance and the free care you would get if you got sick?",0,0
